Name,Price,Rating,Address,Stars
H Hotel & SPA - Adults Only,€ 147,"Scored 8.3 8.3Very good 4,335 reviews","Paceville, St Julian's",
The Embassy Valletta Hotel,€ 206,"Scored 9.0 9.0Superb 2,313 reviews",Valletta,
Corinthia St George's Bay,€ 144,"Scored 8.5 8.5Very good 2,670 reviews",St Julian's,
Hotel Juliani - Boutique Hotel,€ 145,"Scored 9.3 9.3Superb 1,410 reviews","Paceville, St Julian's",
Mayfair by Premier Suites MT,€ 141,Scored 9.4 9.4Superb 182 reviews,Is-Swieqi,No stars
Gillieru Harbour Hotel,€ 141,"Scored 8.0 8.0Very good 1,430 reviews",St Paul's Bay,
be.HOTEL,€ 151,"Scored 8.8 8.8Fabulous 14,428 reviews","Paceville, St Julian's",
HOLM Boutique & SPA - IK Collection,€ 140,"Scored 8.8 8.8Fabulous 1,088 reviews","Ta' Giorni, St Julian's",
"InterContinental Malta, an IHG Hotel",€ 155,"Scored 8.8 8.8Fabulous 1,441 reviews","Paceville, St Julian's",
ME Malta by Meliá,€ 199,Scored 9.0 9.0Superb 2 reviews,"Paceville, St Julian's",
Hugo's Boutique Hotel - Adults Only,€ 150,"Scored 8.4 8.4Very good 1,093 reviews","Paceville, St Julian's",
Vivaldi Hotel,€ 143,"Scored 8.3 8.3Very good 4,660 reviews","Paceville, St Julian's",
Corinthia Palace Malta,€ 145,"Scored 9.0 9.0Superb 1,045 reviews",Attard,
Paradise Bay Resort,€ 140,"Scored 8.0 8.0Very good 3,255 reviews",Mellieħa,
Urban Valley Resort & Spa,€ 153,"Scored 8.7 8.7Fabulous 2,697 reviews",San Ġwann,
La Falconeria Hotel,€ 187,"Scored 9.0 9.0Superb 2,041 reviews",Valletta,
Hyatt Regency Malta,€ 141,"Scored 9.1 9.1Superb 4,413 reviews","Paceville, St Julian's",
Hilton Malta,€ 189,"Scored 8.8 8.8Fabulous 2,159 reviews","Paceville, St Julian's",
Aparthotel Adagio Malta Central,€ 140,Scored 8.4 8.4Very good 836 reviews,Msida,
"Radisson Blu Resort, Malta St. Julian's",€ 151,"Scored 8.5 8.5Very good 1,471 reviews",St Julian's,
"The Westin Dragonara Resort, Malta",€ 161,"Scored 9.1 9.1Superb 2,766 reviews","Paceville, St Julian's",
The Preluna Hotel,€ 140,"Scored 8.2 8.2Very good 1,525 reviews",Sliema,
AX The Palace,€ 151,"Scored 8.8 8.8Fabulous 2,369 reviews",Sliema,
Verdi Gzira Promenade,€ 141,"Scored 9.0 9.0Superb 2,657 reviews",Sliema,
Palais Le Brun,€ 176,"Scored 9.1 9.1Superb 1,610 reviews",Valletta,
"Land's End, Boutique Hotel",€ 164,"Scored 9.1 9.1Superb 1,125 reviews",Sliema,
The Gomerino Hotel,€ 202,"Scored 9.0 9.0Superb 1,697 reviews",Valletta,
Cugo Gran Macina Malta,€ 226,Scored 9.2 9.2Superb 297 reviews,Senglea,
Best View Fortina Luxury Suites,€ 229,Scored 9.6 9.6Exceptional 14 reviews,Sliema,No stars
The Republic Boutique Hotel,€ 204,Scored 8.6 8.6Fabulous 162 reviews,Valletta,
IBB Hotel Palazzo Bettina Malta,€ 163,Scored 9.5 9.5Exceptional 183 reviews,Birgu,
Malta Marriott Resort & Spa,€ 155,"Scored 9.0 9.0Superb 1,283 reviews",St Julian's,
AX The Victoria Hotel,€ 156,"Scored 8.9 8.9Fabulous 2,518 reviews",Sliema,
1926 Le Soleil Hotel & Spa,€ 146,"Scored 8.6 8.6Fabulous 5,307 reviews",Sliema,
Cavalieri Art Hotel,€ 154,"Scored 8.2 8.2Very good 3,165 reviews","Paceville, St Julian's",
Palazzo Violetta,€ 140,"Scored 8.7 8.7Fabulous 1,624 reviews",Sliema,
AX The Saint John,€ 189,Scored 9.0 9.0Superb 539 reviews,Valletta,
Rosselli AX Privilege,€ 225,Scored 8.8 8.8Fabulous 234 reviews,Valletta,
Hotel Kennedy Nova,€ 151,Scored 6.4 6.4Review score 657 reviews,Il-Gżira,
Pebbles Resort,€ 141,"Scored 8.7 8.7Fabulous 1,984 reviews",St Paul's Bay,
C'est La Vie Boutik Swieqi,€ 142,Scored 9.2 9.2Superb 349 reviews,Is-Swieqi,
"The George, Urban Boutique Hotel",€ 140,Scored 7.9 7.9Good 789 reviews,"Paceville, St Julian's",
Barceló Fortina Malta,€ 147,Scored 8.6 8.6Fabulous 361 reviews,Sliema,
Marea Boutique Hotels,€ 158,Scored 9.1 9.1Superb 691 reviews,Sliema,
Best Western Premier Malta,€ 149,Scored 9.2 9.2Superb 773 reviews,St Paul's Bay,
Noru Hotel Malta,€ 149,Scored 8.4 8.4Very good 571 reviews,"Paceville, St Julian's",
Hyatt Centric Malta,€ 141,Scored 9.7 9.7Exceptional 23 reviews,"Paceville, St Julian's",
Salini Resort,€ 142,"Scored 8.5 8.5Very good 3,594 reviews",St Paul's Bay,
Grands Suites Hotel Residences and Spa,€ 144,"Scored 8.7 8.7Fabulous 3,864 reviews",Il-Gżira,
Verdi St George's Bay Marina,€ 144,"Scored 8.5 8.5Very good 3,107 reviews",St Julian's,
Waterfront,€ 141,"Scored 8.9 8.9Fabulous 3,835 reviews",Sliema,
Park Lane Boutique Aparthotel,€ 140,Scored 9.3 9.3Superb 835 reviews,St Paul's Bay,
Fitch Hotel,€ 141,Scored 8.5 8.5Very good 158 reviews,"Paceville, St Julian's",
DoubleTree by Hilton Malta,€ 141,"Scored 8.4 8.4Very good 2,673 reviews",St Paul's Bay,
The Phoenicia Malta,€ 387,Scored 9.4 9.4Superb 992 reviews,Valletta,
AC Hotel by Marriott St Julian's,€ 156,"Scored 9.2 9.2Superb 1,417 reviews","Paceville, St Julian's",
Hotel Santana,€ 147,"Scored 7.8 7.8Good 2,044 reviews",St Paul's Bay,
The Xara Palace Relais & Chateaux,€ 213,Scored 9.2 9.2Superb 543 reviews,Mdina,
